Date/Time;Location;Small;Large
10.2.2019 11:23;F;86500;7700
10.2.2019 11:23;F;127800;7500
10.2.2019 11:24;F;99700;6300
10.2.2019 11:24;F;98200;9600
10.2.2019 11:24;F;120100;6700
10.2.2019 11:24;F;100100;7100
10.2.2019 11:24;F;89000;6000
10.2.2019 11:24;F;101600;5800
10.2.2019 11:25;F;86100;5800
10.2.2019 11:25;F;1318500;10200
10.2.2019 11:25;F;171500;5600
10.2.2019 11:25;F;212300;4200
10.2.2019 11:25;F;94000;9800
10.2.2019 11:25;F;95300;7500
10.2.2019 11:26;F;190400;5800
10.2.2019 11:26;F;298400;8800
10.2.2019 11:26;F;633900;8600
10.2.2019 11:26;F;655200;9600
10.2.2019 11:26;F;185400;5600
10.2.2019 11:26;F;99900;6900
10.2.2019 11:27;F;253400;4200
10.2.2019 11:27;F;696700;10200
10.2.2019 11:27;F;556500;8800
10.2.2019 11:27;F;105000;4800
10.2.2019 11:27;F;79500;6000
10.2.2019 11:27;F;88400;4600
10.2.2019 11:28;F;127400;6000
10.2.2019 11:28;F;205800;7300
10.2.2019 11:28;F;92800;5600
10.2.2019 11:28;F;233500;7700
10.2.2019 11:28;F;73500;6500
10.2.2019 11:28;F;69300;4200
10.2.2019 11:29;F;85400;6300
10.2.2019 11:29;F;82900;3500
10.2.2019 11:29;F;81400;5200
10.2.2019 11:29;F;74700;6700
10.2.2019 11:29;F;84400;8100
10.2.2019 11:29;F;81600;6700
10.2.2019 11:30;F;80200;5400
10.2.2019 11:30;F;74700;6500
10.2.2019 11:30;F;77900;7900
10.2.2019 11:30;F;213900;9600
10.2.2019 11:30;F;106200;7100
10.2.2019 11:30;F;97400;5800
10.2.2019 11:31;F;73000;7900
10.2.2019 11:31;F;69300;7700
10.2.2019 11:31;F;105800;6000
10.2.2019 11:31;F;71400;5800
10.2.2019 11:31;F;72400;5600
10.2.2019 11:31;F;69500;9600
10.2.2019 11:32;F;76400;7700
10.2.2019 11:32;F;72400;3900
10.2.2019 11:32;F;78700;10200
10.2.2019 11:32;F;76800;6500
10.2.2019 11:32;F;97600;7300
10.2.2019 11:32;F;119200;7700
10.2.2019 11:33;F;98700;6700
10.2.2019 11:33;F;77200;6900
10.2.2019 11:33;F;75600;5400
10.2.2019 11:33;F;77400;7300
10.2.2019 11:33;F;82700;8800
10.2.2019 11:33;F;79800;7100
10.2.2019 11:34;F;76800;6700
10.2.2019 11:34;F;521400;6500
10.2.2019 11:34;F;174900;6700
10.2.2019 11:34;F;98400;6300
10.2.2019 11:34;F;87500;7500
10.2.2019 11:34;F;73000;7700
10.2.2019 11:35;F;64000;8600
10.2.2019 11:35;F;73500;5200
10.2.2019 11:35;F;73000;6000
10.2.2019 11:35;F;76800;8400
10.2.2019 11:35;F;72800;7700
10.2.2019 11:35;F;102400;5800
10.2.2019 11:36;F;161200;6700
10.2.2019 11:36;F;154900;7500
10.2.2019 11:36;F;115500;5800
10.2.2019 11:36;F;140400;6500
10.2.2019 11:36;F;164200;7100
10.2.2019 11:36;F;87500;6300
10.2.2019 11:37;F;140000;6500
10.2.2019 11:37;F;127400;8800
10.2.2019 11:37;F;77900;8400
10.2.2019 11:37;F;116500;10000
10.2.2019 11:37;F;115700;8400
10.2.2019 11:37;F;97600;11700
10.2.2019 11:38;F;89600;9200
10.2.2019 11:38;F;84400;9400
10.2.2019 11:38;F;130600;5200
10.2.2019 11:38;F;99500;10500
10.2.2019 11:38;F;300500;13400
10.2.2019 11:38;F;711900;12300
10.2.2019 11:39;F;362400;11300
10.2.2019 11:39;F;456900;9000
10.2.2019 11:39;F;4085100;139600
10.2.2019 11:39;F;166100;8100
10.2.2019 11:39;F;87100;11300
10.2.2019 11:39;F;117800;12800
10.2.2019 11:40;F;697800;16300
10.2.2019 11:40;F;397700;38400
10.2.2019 11:40;F;242900;30000
10.2.2019 11:40;F;175900;17800
10.2.2019 11:40;F;128500;12300
10.2.2019 11:40;F;138300;11900
10.2.2019 11:41;F;146500;14700
10.2.2019 11:41;F;154700;12100
10.2.2019 11:41;F;149500;13000
10.2.2019 11:41;F;287400;16800
10.2.2019 11:41;F;615300;13400
10.2.2019 11:41;F;450400;11700
10.2.2019 11:42;F;335500;13800
10.2.2019 11:42;F;980400;15900
10.2.2019 11:42;F;129500;13600
10.2.2019 11:42;F;141300;11300
10.2.2019 11:42;F;144000;14700
10.2.2019 11:42;F;258500;15500
10.2.2019 11:43;F;122800;12300
10.2.2019 11:43;F;117600;11300
10.2.2019 11:43;F;119700;12600
10.2.2019 11:43;F;99700;9800
10.2.2019 11:43;F;90500;12600
10.2.2019 11:43;F;84000;10500
10.2.2019 11:44;F;230500;11100
10.2.2019 11:44;F;137500;12300
10.2.2019 11:44;F;509200;15700
10.2.2019 11:44;F;494900;12800
10.2.2019 11:44;F;708500;14700
10.2.2019 11:44;F;289100;12600
10.2.2019 11:45;F;186900;11300
10.2.2019 11:45;F;1072000;58500
10.2.2019 11:45;F;1107500;22600
10.2.2019 11:45;F;3058800;107300
10.2.2019 11:45;F;850000;15700
10.2.2019 11:45;F;831800;11500
10.2.2019 11:46;F;507300;10500
10.2.2019 11:46;F;372900;9400
10.2.2019 11:46;F;491800;10200
10.2.2019 11:46;F;545500;12800
10.2.2019 11:46;F;238100;10900
10.2.2019 11:46;F;372300;13800
10.2.2019 11:47;F;471600;11500
10.2.2019 11:47;F;279700;8400
10.2.2019 11:47;F;868100;21200
10.2.2019 11:47;F;491400;13200
10.2.2019 11:47;F;497200;9400
10.2.2019 11:47;F;394500;11300
10.2.2019 11:48;F;335300;8400
10.2.2019 11:48;F;516300;7500
10.2.2019 11:48;F;1337900;22600
10.2.2019 11:48;F;486700;11100
10.2.2019 11:48;F;140000;5600
10.2.2019 11:48;F;112900;9400
10.2.2019 11:49;F;161900;7900
10.2.2019 11:49;F;166500;6700
10.2.2019 11:49;F;192500;6500
10.2.2019 11:49;F;151800;8600
10.2.2019 11:49;F;110800;6700
10.2.2019 11:49;F;78300;4600
10.2.2019 11:50;F;73700;6500
10.2.2019 11:50;F;104100;7100
10.2.2019 11:50;F;355900;7500
10.2.2019 11:50;F;177400;4800
10.2.2019 11:50;F;94900;6300
10.2.2019 11:50;F;80800;3700
10.2.2019 11:51;F;43600;5000
10.2.2019 11:51;F;49900;7900
